Date,Close,Open,High,Low,Volume
2023-02-21,170.6199951171875,171.1999969482422,171.5,170.33999633789062,4035900
2023-02-22,169.66000366210938,170.80999755859375,170.9600067138672,169.55999755859375,4105700
2023-02-23,169.57000732421875,169.83999633789062,170.1300048828125,169.0800018310547,5073500
2023-02-24,168.35000610351562,168.4199981689453,168.83999633789062,168.19000244140625,6496500
2023-02-27,169.00999450683594,168.8800048828125,169.22999572753906,168.5500030517578,4509200
2023-02-28,169.77999877929688,168.77999877929688,170.25,168.58999633789062,6761600
2023-03-01,170.75999450683594,170.9499969482422,171.49000549316406,170.47000122070312,6590500
2023-03-02,170.66000366210938,170.52000427246094,170.97999572753906,170.36000061035156,3950700
2023-03-03,172.49000549316406,171.4499969482422,172.60000610351562,170.97999572753906,6894500
2023-03-06,171.6199951171875,172.32000732421875,172.3699951171875,171.5399932861328,4264100
2023-03-07,168.6199951171875,170.4199981689453,170.47000122070312,168.52000427246094,8713300
2023-03-08,168.5399932861328,168.61000061035156,169.58999633789062,168.52000427246094,5718600
2023-03-09,170.1999969482422,169.75,170.64999389648438,169.7100067138672,5583000
2023-03-10,173.8699951171875,171.92999267578125,173.8800048828125,171.9199981689453,13803400
2023-03-13,177.86000061035156,176.66000366210938,178.02000427246094,176.3000030517578,20554400
2023-03-14,176.8300018310547,177.35000610351562,177.58999633789062,176.2100067138672,10019000
2023-03-15,178.2100067138672,178.86000061035156,180.1300048828125,177.49000549316406,14546100
2023-03-16,178.57000732421875,179.50999450683594,179.64999389648438,177.8699951171875,10762200
2023-03-17,183.77000427246094,181.02000427246094,184.80999755859375,180.77000427246094,24156300
2023-03-20,183.83999633789062,184.19000244140625,184.5399932861328,182.74000549316406,11845700
2023-03-21,180.3699951171875,182.64999389648438,182.72999572753906,179.89999389648438,10734500
